"Title: Median Annual Household Income | KFF"
"Timeframe: 2021"
"Location","Median Annual Household Income"
"California","$84,907"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. We will continue to report data from the ACS for 2021 and later. Estimates from the CPS are not comparable to estimates from ACS."
""
"In 2021 inflation-adjusted dollars. Data are limited to the household population and exclude the population living in institutions, college dormitories, and other group quarters. For information on confidentiality protection, sampling error, nonsampling error, and defintions, see"
"[www.census.gov/programs-surveys/acs/](www.census.gov/programs-surveys/acs/)."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"U.S. Census Bureau, 2021 American Community Survey, 1-Year Estimates; Table ID: B19013."


